pcode, pterm,1,2,3,4,5
10113001,1,0.03,0,0,0,0
10113001,2,0.05,0,0,0,0
10113001,3,0.1,0,0,0,0
10113001,4,0.1,0,0,0,0
10113001,5,0.15,0.03,0,0,0
10113001,6,0.15,0.03,0,0,0
10113001,7,0.15,0.03,0,0,0
10113001,8,0.2,0.05,0,0,0
10113001,9,0.2,0.05,0,0,0
10113001,10,0.3,0.05,0.02,0,0
10113001,11,0.3,0.05,0.02,0,0
10113001,12,0.3,0.05,0.02,0,0
10113001,13,0.3,0.05,0.02,0,0
10113001,14,0.3,0.05,0.02,0,0
10113001,15,0.35,0.05,0.02,0,0
10113001,16,0.35,0.05,0.02,0,0
10113001,17,0.35,0.05,0.02,0,0
10113001,18,0.35,0.05,0.02,0,0
10113001,19,0.35,0.05,0.02,0,0
10113001,20,0.4,0.08,0.03,0,0
10122001,1,0,0,0,0,0
10122001,2,0.05,0,0,0,0
10122001,3,0.15,0.03,0,0,0
10122001,4,0.15,0.03,0,0,0
10122001,5,0.15,0.03,0,0,0
10122001,6,0.15,0.03,0,0,0
10122001,7,0.15,0.03,0,0,0
10122001,8,0.3,0.05,0.02,0,0
10122001,9,0.3,0.05,0.02,0,0
10122001,10,0.3,0.05,0.02,0,0
10122001,11,0.3,0.05,0.02,0,0
10122001,12,0.3,0.05,0.02,0,0
10122001,13,0.3,0.05,0.02,0,0
10122001,14,0.3,0.05,0.02,0,0
10122001,15,0.35,0.05,0.02,0,0
10122001,16,0.35,0.05,0.02,0,0
10122001,17,0.35,0.05,0.02,0,0
10122001,18,0.35,0.05,0.02,0,0
10122001,19,0.35,0.05,0.02,0,0
10122001,20,0.4,0.08,0.03,0,0
20213001,1,0.03,0,0,0,0
20213001,2,0.05,0,0,0,0
20213001,3,0.09,0,0,0,0
20213001,4,0.09,0,0,0,0
20213001,5,0.13,0.03,0,0,0
20213001,6,0.13,0.03,0,0,0
20213001,7,0.13,0.03,0,0,0
20213001,8,0.2,0.03,0,0,0
20213001,9,0.2,0.03,0,0,0
20213001,10,0.29,0.03,0.01,0,0
20213001,11,0.29,0.03,0.01,0,0
20213001,12,0.29,0.03,0.01,0,0
20213001,13,0.29,0.03,0.01,0,0
20213001,14,0.29,0.03,0.01,0,0
20213001,15,0.35,0.03,0.01,0,0
20213001,16,0.35,0.03,0.01,0,0
20213001,17,0.35,0.03,0.01,0,0
20213001,18,0.35,0.03,0.01,0,0
20213001,19,0.35,0.03,0.01,0,0
20213001,20,0.4,0.05,0.01,0,0
10313001,1,0.03,0,0,0,0
10313001,3,0.1,0,0,0,0
10313001,5,0.15,0.03,0,0,0
10313001,10,0.25,0.08,0.01,0,0
10413001,1,0.022,0,0,0,0
10413001,3,0.1,0,0,0,0
10413001,5,0.14,0.03,0,0,0
10413001,10,0.25,0.07,0.01,0,0
10413001,15,0.25,0.08,0.01,0,0
10413001,20,0.28,0.08,0.01,0,0
10523001,1,0.03,0,0,0,0
10523001,3,0.1,0,0,0,0
10523001,5,0.15,0.03,0,0,0
10523001,10,0.28,0.08,0.01,0,0
10523001,15,0.33,0.08,0.01,0,0
10523001,20,0.4,0.1,0.01,0,0
20313001,1,0.02,0,0,0,0
20313001,3,0.09,0,0,0,0
20313001,5,0.13,0.03,0,0,0
20313001,10,0.24,0.07,0.01,0,0
20313001,15,0.25,0.08,0.01,0,0
20313001,20,0.28,0.08,0.01,0,0
20313002,1,0.02,0,0,0,0
20313002,3,0.09,0,0,0,0
20313002,5,0.13,0.03,0,0,0
20313002,10,0.24,0.03,0.01,0,0
20313002,15,0.25,0.08,0.01,0,0
20313002,20,0.28,0.1,0.01,0,0
